Customer ID,Name,Age,Gender,Address,Contact Number,Email ID,Income Level,Occupation,FD ID,Bank Name,Deposit Date,Maturity Date,Principal Amount,Interest Rate (%),Compounding Frequency,Maturity Amount,Tenure (Years),Penalty on Premature Withdrawal (%),Auto Renewal,Deposit Mode,Withdrawal Status,Premature Withdrawal Date,Penalty Amount,TDS Deducted,Nominee Name,Nominee Relation,Branch Code,Remarks,Customer Type
a989b717-0a12-49e2-91ab-f38cdff2eb44,Jordan Holloway,62,Male,"15603 Anderson Unions
New James, DE 10048",824.717.9220x3346,reedcynthia@lara.com,Medium,Salaried,33d0e927-ddd0-4508-895a-769544c24aa4,Bank B,2024-03-31,2034-03-31,725305,7.8,Quarterly,1537121.79,10,2,No,Cheque,Withdrawn,,3326,72530.5,Timothy Vang,Child,UNJOGB8O,Priority Customer,Senior Citizen
698893bb-32f4-4685-83ab-e9f909dfef0c,Kayla Lewis,72,Other,"105 Brittany Valleys
Lake Williamborough, OH 41075",001-759-523-3947,brianmiddleton@moore.com,Medium,Salaried,098b5c25-1482-4878-81a9-3bb208cc54f8,Bank D,2023-02-20,2033-02-20,515416,7.8,Monthly,1092308.98,10,2,No,Online Transfer,Withdrawn,,0,0,Larry Horton,Child,JUPBGB79,Priority Customer,Senior Citizen
80bcc989-2078-444b-bdd5-5e2d6c2c65e1,Joseph Hinton,34,Other,"45266 Donald Villages Suite 607
Port Alyssa, PA 62545",013-916-1033,colin05@hotmail.com,High,Self-Employed,d7cab0c7-a95a-42a2-833c-d5a7fce0ae0f,Bank A,2020-09-12,2030-09-12,214998,7.2,Monthly,430905.73,10,2,Yes,Cheque,Active,,0,0,Alexis Perkins,Parent,RJSHGBHM,Regular Customer,General Citizen
c1f02258-6378-4d12-ad8e-a41bb0203e9c,Samuel Crosby,23,Female,"Unit 1621 Box 8173
DPO AE 86513",+1-613-007-0288x3127,dustin90@smith-walsh.biz,High,Salaried,9d95fbe8-2fb1-4f7b-ab2c-64160ca0fcbb,Bank D,2024-01-05,2025-01-05,289479,7.2,Annually,310321.49,1,2,Yes,Cheque,Withdrawn,,4167,0,Robert Robbins,Friend,ORVCGBQT,Regular Customer,General Citizen
d5fffb44-4507-4b71-9c51-39e75129c1dc,Tracie Meyer,43,Other,"67116 Cody Prairie Suite 296
Laurenmouth, MS 25442",001-714-998-1994x718,sandra88@hotmail.com,Medium,Self-Employed,1778243d-31d8-4c39-8641-2f1d86cee44c,Bank B,2023-12-15,2033-12-15,666249,7.2,Annually,1335317.14,10,2,No,Cash,Active,2022-08-01,1177,0,Reginald Mcfarland,Friend,VEQUGBDF,Regular Customer,General Citizen
726ef59c-7f2c-45c0-b376-1b8371cbdb41,Barbara Odom,53,Female,"6615 Blackwell Union Suite 047
West John, MS 68341",868-418-8623x24972,woodsnancy@coleman.com,Medium,Retired,61de8f1b-bf02-46dc-a85b-eda16b82e4fb,Bank B,2024-03-17,2029-03-17,375016,7.2,Annually,530913.45,5,1,No,Online Transfer,Withdrawn,,0,37501.6,William Johnson,Child,HTIBGB2B,Regular Customer,General Citizen
a2a189c2-1a30-42bc-a7f8-567c5f2b1573,Michael Huff,61,Other,"18208 Anthony Neck Suite 629
South Albert, LA 67057",848-481-2982,batessean@harris.com,Low,Unemployed,6f0735ad-a56b-4836-8aed-c38861f92d70,Bank D,2024-12-01,2026-12-01,369591,7.8,Quarterly,429495.79,2,1,No,Cash,Matured,2022-08-12,0,0,Peggy Mclaughlin,Sibling,TTIAGBDQ,N/A,Senior Citizen
8d56ff67-9058-4939-b592-68154234e193,Rachel Hooper,56,Female,"4103 Graves Loaf
New Sylviafurt, WY 20685",424-765-7924x681,samanthakim@gmail.com,High,Unemployed,1c8b811e-d7d2-4257-a76a-b1c21f5d4449,Bank C,2024-02-19,2027-02-19,882801,7.8,Annually,1105908.25,3,1,No,Cash,Matured,,0,0,Tracy Campbell,Child,ZGZZGBIL,Regular Customer,Senior Citizen
c314f911-38bd-4852-8ff6-9bacf75f0136,Robert Jackson,51,Female,"7003 Fields Orchard Suite 990
Youngfurt, NM 11780",001-510-739-6600,brianherrera@yahoo.com,Low,Retired,6b37c326-2913-4f8a-8f47-cd875cb8fbf5,Bank C,2024-01-28,2034-01-28,574918,7.2,Annually,1152268.69,10,2,No,Cheque,Matured,,0,0,Cheryl Smith,Spouse,LORGGB5F,Regular Customer,General Citizen
7ffd07a6-11ff-4685-818b-1f13f073a3ac,John Anderson,26,Other,"900 Barnett Extension Apt. 544
Kristentown, TN 63368",(798)304-0999x9917,jeffrey54@yahoo.com,Medium,Unemployed,57b9af66-77de-40da-9830-d2321b7c39df,Bank B,2020-07-21,2023-07-21,448219,7.2,Annually,552172.3,3,3,Yes,Cash,Matured,2022-10-19,0,44821.9,Angela Perez,Parent,QNIHGBZ9,N/A,General Citizen
